Facial Light  ,"95.000,00"
Facial Preparation  ,"50.000,00"
Facial Facial Essential  ,"120.000,00"
Facial Oxygeneo  ,"288.750,00"
Facial Korean Silk  ,"135.000,00"
Peeling Microdermabrasi  ,"78.750,00"
Peeling Chemical AHA 20% ,"56.250,00"
Peeling Chemical AHA 35% ,"63.750,00"
Peeling Chemical AHA 70% ,"112.500,00"
Peeling Chemical BHA 20% ,"63.750,00"
Peeling Chemical Complex ,"75.000,00"
Peeling Chemical Retinol ,"187.500,00"
Peeling Chemical Sparkling HD ,"225.000,00"
Peeling Chemical Sparkling FD ,"337.500,00"
Peeling Chemical Mandelaic ,"187.500,00"
Peeling Chemical TCA ,"187.500,00"
Peeling Chemical Bio Re Peel ,"300.000,00"
 Laser ND-Yag 1450 nm - F0,"158.178,29"
 Laser ND-Yag Blackdoll,"171.889,71"
 Laser ND-Yag 1450 nm - F50,"163.218,29"
 Laser ND-Yag 532 nm,"154.715,43"
 Laser CO2 Face (2 Spot),"420.000,00"
 Laser CO2 Vagina,"169.134,86"
 Laser Bikini ,"450.000,00"
 Laser Korean ,"158.178,29"
 Laser Korean Blackdoll ,"171.889,71"
 Laser Freckles ,"158.178,29"
 Laser Lip Care ,"161.313,52"
 Laser Arm Pit ,"249.962,86"
Peeling Chemical Intimate ,"262.500,00"
Advance IPL Toning Shower ,"220.000,00"
Advance IPL Acne ,"220.000,00"
Brightening IPL Arm Pit Hair ,"281.250,00"
Brightening IPL Brazilian ,"487.500,00"
 Mesotheraphy Dermapen ,"360.000,00"
Brightening Mesotheraphy Needle ,"375.000,00"
Brightening Mesotheraphy Aqua Injector ,"750.000,00"
Brightening Mesotheraphy Dark Circle Eye ,"450.000,00"
Advance  Nucleofil Strong ,"3.500.000,00"
Advance  Rejuran Healer Half ,"4.050.000,00"
Advance  Rejuran HB ,"4.450.000,00"
Brightening DNA Premium Injection The A ,"543.750,00"
Advance HA Injection Profhilo ,"4.950.000,00"
Brightening HA Injection Aqua C ,"1.087.500,00"
Brightening Ascorbic Acid 200 mg ,"90.000,00"
Brightening Injection Aura ,"150.000,00"
Brightening Infus Basic ,"247.500,00"
Brightening Infus Energy Boost ,"937.500,00"
Brightening Infus Energy ,"720.000,00"
Brightening Infus Skin Glow ,"495.000,00"
Brightening Infus Energy Skin Glow ,"1.012.500,00"
Injeksi Tica  per CC,"25.000,00"
Brightening Infus Chromosome ,"1.500.000,00"
Lifting RF Sineson Bipolar  ,"275.000,00"
Lifting RF Tripolar  ,"112.500,00"
Lifting RF Monopolar Sineson for Face  ,"330.000,00"
Lifting HIFU 6D 1 Layer ,"675.000,00"
Lifting HIFU 6D 3 Layer ,"1.350.000,00"
Lifting Threadlift PDO Mono 10 thrd,"1.500.000,00"
Lifting Threadlift PDO Barb 1 Thrd,"412.500,00"
Lifting Threadlift Silhouette Soft Bidirect 1 Thrd,"6.600.000,00"
Lifting Threadlift Bidirect PDO Bidirect 1 Thrd,"2.437.500,00"
Lifting Threadlift Facelifting 2 Thrd,"742.500,00"
Advance Collagen Stimulator Facetem ,"4.200.000,00"
Advance Collagen Stimulator Radiese ,"0,00"
Advance Dermal Filler Juvederm ,"3.750.000,00"
Advance Dermal Filler Eye ,"3.150.000,00"
Advance Dermal Filler Smile Line ,"4.125.000,00"
Advance Botox Bio Per IU ,"36.000,00"
Advance Botox Lanzox Per IU ,"65.000,00"
Adds on Botox Micro ,"40.000,00"
Advance Subsicion  ,"275.000,00"
Slimming Face V - Line ,"420.000,00"
Slimming Fat Injection Mesococktail / amp ,"300.000,00"
Slimming Fat Injection Mesococktail / 10 amp paket ,"2.600.000,00"
Slimming RF Sineson SF  ,"400.000,00"
Slimming RF Sineson VF  ,"450.000,00"
Woman Injeksi Kamasutra ,"150.000,00"
Hair Treatment Creambath Org ,"80.000,00"
Hair Treatment Filler Repair ,"150.000,00"
Hair Treatment Mask Pro  ,"175.000,00"
Hair Treatment Root Care ,"150.000,00"
Hair Treatment Bye Dandruff ,"150.000,00"
Hair Treatment Smoothing ,"400.000,00"
Hair Treatment Toning Pdk ,"150.000,00"
Hair Treatment Spa Keratin ,"100.000,00"
Hair Treatment Toning Rb Pendek ,"60.000,00"
Hair Treatment Toning Rb Panjang ,"250.000,00"
Hair Treatment Spa Keratin Pro ,"100.000,00"
Hair Treatment Toning ,"250.000,00"
Hair Treatment Creambath Diamond ,"125.000,00"
Hair Treatment Creambath Blue ,"125.000,00"
Hair Treatment Creambath Platinum ,"100.000,00"
Hair Treatment Creambath Organik ,"70.000,00"
Hair Treatment Cut By Mas Joko ,"200.000,00"
Lash Treatment Lift ,
Body Treatment Manicure ,
Body Treatment Pedicure ,
Adds on Treatment Detox ,"25.000,00"
Adds on Serum Derma Acne ,"95.000,00"
Adds on Oxy Infusion ,"35.000,00"
Adds on Masker Aloevera & Cucumber Rubber Peel Off ,"20.000,00"
Adds on Masker Gold Facial Peel OFF PM ,"20.000,00"
Adds on Masker Peppermint Rubber Soft PM Peel Off ,"20.000,00"
Adds on Masker PeelBlack & White Sesame Seed Peel Off ,"20.000,00"
Adds on Masker Tissue ,"15.000,00"
Advance Injeksi Jalupro Single ,
Adds on Treatment Glow PDT ,"20.000,00"
Adds on Treatment Acne PDT ,"20.000,00"
Adds on Anestesi Soft Layer ,"96.000,00"
Adds on Anestesi Dolonese ,"60.000,00"
Advance Treatment Couterisasi ,"150.000,00"
Advance Treatment Minor ,"450.000,00"
Adds on Anestesi Korea ,"25.000,00"
Adds on Treatment Komedo Ekstraksi ,"25.000,00"
Adds on Treatment PRP ,"175.000,00"
Slimming Treatment Akupuntur ,"75.000,00"
Scaling and Polishing (Pembersihan Karang Gigi) Basic  ,"400.000,00"
Teeth Whitening (Pemutihan Gigi)   ,"1.800.000,00"
Dental Filling (Tambal Gigi) GIC  ,"250.000,00"
Root Canal Treatment (Perawatan Saluran Akar) 36  ,"600.000,00"
Tooth Extraction (Cabut Gigi) Dental Hecting  ,"200.000,00"
Tooth Extraction (Cabut Gigi) Aff Dental Hecting  ,"200.000,00"
Tooth Extraction (Cabut Gigi) Anak  ,"250.000,00"
Tooth Extraction (Cabut Gigi) Dewasa  ,"350.000,00"
Tooth Extraction (Cabut Gigi) Geraham  ,"1.000.000,00"
Tooth Extraction (Cabut Gigi) Odontektomi  ,"850.000,00"
Dental Crown   ,"1.000.000,00"
Dental Bridge   ,
Veneer   ,"750.000,00"
Braces (Kawat Gigi)   ,"6.000.000,00"
Dental Implant   ,
Dentures (Gigi Palsu)   ,"1.300.000,00"
Gum Treatment (Perawatan Gusi)   ,
Fluoride Treatment   ,"75.000,00"
Sealant   ,"350.000,00"
Occlusal Adjustment (Penyesuaian Gigitan)   ,
Smile Makeover   ,
Konsultasi   ,"50.000,00"
Pemeriksaan  Fisik  ,"80.000,00"
Injeksi Preparation infus  ,"85.000,00"
Injeksi Preparation IV Wing  ,"48.000,00"
Injeksi Preparation IV Bolus  ,"35.000,00"
Konsultasi dr. Andhika  ,"20.000,00"
Konsultasi dr. Dynar  ,"20.000,00"
Adds on Redness Serum  ,"35.000,00"
Brightening Derma Bright  ,"25.000,00"
Adds on Hyaluronic Acid  ,"35.000,00"
Advance Microbotox with Aqua Injector  ,"1.200.000,00"
Masker Papaya Peel Off  ,"26.000,00"
Masker Peppermint Peel Off  ,"26.000,00"
Masker Pearl Peel Off  ,"26.000,00"
Masker SkinTech  ,"33.000,00"
Peeling Home Care Brightening   ,"100.000,00"
Peeling Home Care Acne  ,"100.000,00"
Advance Preparation with Anestesi Cream  ,"42.000,00"
Advance Preparation for IV  ,"35.000,00"
Advance Preparation with Anestesi Injeksi  ,"35.000,00"
Paket Paket Nyindhen 2  ,"1.070.000,00"
Peeling SA Mandelaic  ,"150.000,00"
Hair Cutting  ,"200.000,00"
Hair Smoothing  ,"850.000,00"
Body SPA 60 menit,"150.000,00"
Body SPA 90 menit,"200.000,00"
Advance Slim & Tight Face Body per CC ,"200.000,00"
Dna Salmon Even Tone & Glow (Fleck Blocker)  ,
Adds on PDRN DNA Salmon  ,"61.630,00"
Injeksi Acne  ,"25.000,00"
Facial Deep Hydration  ,"184.000,00"
Adds on Acne Fighter Serum  ,"35.000,00"
Advance Exosome Skinbooster  ,"2.390.000,00"
Peeling Back Care  ,"212.000,00"
Peeling Neck Care  ,"50.000,00"
Slimming V Shape (Promo)  ,"215.000,00"
Slimming Edukasi Healthy Life + Meal Plan  ,"500.000,00"
Pemeriksaan Cek GDS  ,
Injeksi 10 Poin PDRN DNA Salmon  ,"250.000,00"
Peeling Hand,"250.000,00"
Peeling Leg,"450.000,00"
Botox Korea 1/3 Atas,"1.000.000,00"
Peeling Tummy,"320.000,00"
Skinbooster PDRN Dna Salmon Messoneedle,
Facial Essential,"115.000,00"
Facial Signature for Acne,"155.000,00"
Facial Signature for Anti Aging,"185.000,00"
Facial Signature for Sensitive Skin,"135.000,00"
Injeksi Immune C Booster,"120.000,00"
Injeksi Eye Bag,"550.000,00"
Skinbooster Juvelook Collagen & Aqua Therapy,"1.599.000,00"
Laser Pico Brightening Face,"681.000,00"
Laser Pico Lip Care,"250.000,00"
Laser Pico Brightening Arm Pit ,"425.000,00"
Laser Pico Brightening Bikini ,"425.000,00"
Laser Pico Scar Renew,"425.000,00"
Laser PicoInk Erase,"632.000,00"
Laser Pico Melasma Care,"681.000,00"
Laser Pico Blackdoll Glow,"425.000,00"